name,number,img_url,link,img
Alisson Becker,13,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69945_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/alisson-becker,"<img alt= ""Alisson Becker"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69945_misc_general_500.jpeg"" width = ""100""/>"
Simon Mignolet,22,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69999_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/simon-mignolet,"<img alt= ""Simon Mignolet"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69999_misc_general_500.jpeg"" width = ""100""/>"
Caoimhin Kelleher,62,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69996_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/caoimhin-kelleher,"<img alt= ""Caoimhin Kelleher"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69996_misc_general_500.jpeg"" width = ""100""/>"
Virgil van Dijk,4,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70012_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/virgil-van-dijk,"<img alt= ""Virgil van Dijk"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70012_misc_general_500.jpeg"" width = ""100""/>"
Dejan Lovren,6,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/72/thumb_71690_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/dejan-lovren,"<img alt= ""Dejan Lovren"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/72/thumb_71690_misc_general_500.jpeg"" width = ""100""/>"
Joe Gomez,12,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69956_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/joe-gomez,"<img alt= ""Joe Gomez"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69956_misc_general_500.jpeg"" width = ""100""/>"
Alberto Moreno,18,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/72/thumb_71692_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/alberto-moreno,"<img alt= ""Alberto Moreno"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/72/thumb_71692_misc_general_500.jpeg"" width = ""100""/>"
Andy Robertson,26,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70006_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/andy-robertson,"<img alt= ""Andy Robertson"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70006_misc_general_500.jpeg"" width = ""100""/>"
Joel Matip,32,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69998_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/joel-matip,"<img alt= ""Joel Matip"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/70/thumb_69998_misc_general_500.jpeg"" width = ""100""/>"
Nathaniel Phillips,47,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70005_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/nathaniel-phillips,"<img alt= ""Nathaniel Phillips"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70005_misc_general_500.jpeg"" width = ""100""/>"
Trent Alexander-Arnold,66,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70011_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/trent-alexander-arnold,"<img alt= ""Trent Alexander-Arnold"" src = ""https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/71/thumb_70011_misc_general_500.jpeg"" width = ""100""/>"
